ID,Name,TEU,Deadweight,Depth,Displacement,Draught,Length
449,ZIM KINGSTON,4253,50782,19.3,67503,12.62,260.01
450,ZIM LUANDA,4253,50697,19.3,67418,12.6,260.03
451,ZIM MONACO,4253,50775,19.3,67217,12.6,260.01
452,ZIM NEW YORK,4992,66686,21.8,86590,13.5,294
453,ZIM QINGDAO,4250,50689,19.3,67304,12.63,260.62
454,ZIM SAO PAOLO,4253,50818,19.3,67271,12.6,260.03
455,ZIM SHEKOU,4250,50629,19.3,67304,12.6,260.01
456,ZIM TARRAGONA,4250,50088,19.3,67906,12.6,261.06
457,ZIM VANCOUVER,4250,50532,19.3,67304,12.63,260.62
458,ZIM VIRGINIA,4992,66686,21.8,86596,13.5,294
459,ZIM YOKOHAMA,4250,50532,19.3,67304,12.6,261
